office,statefips,countyfips,dem_margin
310,42,42049,0.02541410436523628
310,42,42051,-0.08482382743532663
310,42,42053,-0.3173652694610778
310,42,42055,-0.4346134227209794
310,42,42057,-0.6119130831180672
310,42,42059,-0.13648951602268228
310,42,42061,-0.37328572167882834
310,42,42063,-0.19963320567452403
310,42,42065,-0.48238993710691824
310,42,42067,-0.48933268387725276
310,42,42069,0.22183908045977008
310,42,42071,-0.22725156354209924
310,42,42073,-0.13750219832675925
310,42,42075,-0.3257988185263019
310,42,42077,0.08120465417101586
310,42,42079,-0.006430716498168287
310,42,42081,-0.373664769891185
310,42,42083,-0.456871437618746
310,42,42085,-0.18122996440301292
310,42,42087,-0.474675033617212
310,42,42089,0.06298168814353539
310,42,42091,0.1870773504094254
310,42,42093,-0.20705686017403746
310,42,42095,0.007381193872942726
310,42,42097,-0.2549590432970859
310,42,42099,-0.4650154202004626
310,42,42101,0.6948553745011956
310,42,42103,-0.23493069306930692
310,42,42105,-0.5830238726790451
310,42,42107,-0.26787700359829897
310,42,42109,-0.4063223787167449
310,42,42111,-0.3984221469055282
310,42,42113,-0.34431630971993415
310,42,42115,-0.3504779004066114
310,42,42117,-0.5074585172355996
310,42,42119,-0.23848444159028553
310,42,42121,-0.3253736546254739
310,42,42123,-0.34152695967376534
310,42,42125,-0.12741872188848974
310,42,42127,-0.30038610038610036
310,42,42129,-0.1898973329185168
310,42,42131,-0.30398813704831035
310,42,42133,-0.27599907667977974
312,42,42001,-0.2979801232103377
312,42,42003,0.2496266681039812
312,42,42005,-0.2270814988748655
312,42,42007,0.029302421959751856
312,42,42009,-0.4909576564347331
312,42,42011,-0.04029888580350044
312,42,42013,-0.3268002887124535
312,42,42015,-0.34214408164892557
312,42,42017,0.008333082276383574
312,42,42019,-0.25865722146674675
312,42,42021,-0.02290872356372403
312,42,42023,-0.26095238095238094
312,42,42025,-0.10558937871341595
312,42,42027,0.03587056344876022
312,42,42029,0.0213649873904167
312,42,42031,-0.25904180366369184
312,42,42033,-0.24633905309496007
312,42,42035,-0.09526372443487618
312,42,42037,-0.05619440225645478
312,42,42039,-0.25447665012202814
312,42,42041,-0.17104462432371598
312,42,42043,0.04474495772537829
312,42,42045,0.17342060211282312
312,42,42047,-0.1553529453664791
312,42,42049,0.1283199622860703
312,42,42051,-0.004814599106969519
312,42,42053,-0.20896165445928477
312,42,42055,-0.38523989565931005
312,42,42057,-0.5644246974107553
312,42,42059,-0.029603275827347786
312,42,42061,-0.33095696518707396
312,42,42063,-0.11435062476334718
312,42,42065,-0.3971259243719516
312,42,42067,-0.4275604482012974
312,42,42069,0.27995777780055137
312,42,42071,-0.19987200107788566
312,42,42073,-0.04358249634078637
312,42,42075,-0.2799168053244593
312,42,42077,0.09395272056642467
312,42,42079,0.06282858902098237
312,42,42081,-0.28921519394170697
312,42,42083,-0.41753069143184274
312,42,42085,-0.15187622265694467
312,42,42087,-0.4294824764377222
312,42,42089,0.09838220737441228
312,42,42091,0.17307306480355944
312,42,42093,-0.12099002763426647
312,42,42095,0.02615656637247371
312,42,42097,-0.18216931369440525
312,42,42099,-0.39758919494602313
312,42,42101,0.695882052217276
312,42,42103,-0.20549253731343287
312,42,42105,-0.5531519575315196
312,42,42107,-0.15907408321405658
312,42,42109,-0.3330800886356442
312,42,42111,-0.3228620296465223
312,42,42113,-0.2670623145400593
312,42,42115,-0.27703633089715074
312,42,42117,-0.47096738033852703
312,42,42119,-0.19789791533592704
312,42,42121,-0.24868766404199472
312,42,42123,-0.26797906235776064
312,42,42125,-0.04881568722435842
