GEOID,NAME,id,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
3904,OH-04,366,Jim Jordan,republican,210227,0.6798886186644588,Janet Garrett,democratic,98981,0.3201113813355411,-0.3597772373289177
3915,OH-15,370,Steve Stivers,republican,222847,0.6616459871677252,Scott Wharton,democratic,113960,0.33835401283227484,-0.3232919743354503
1308,GA-08,170,AUSTIN SCOTT,republican,173983,0.676429193493204,JAMES NEAL HARRIS,democratic,83225,0.32357080650679604,-0.3528583869864079
1309,GA-09,174,DOUG COLLINS,republican,256535,1.0,UNOPPOSED,N/A,0,0.0,-1
1306,GA-06,180,TOM PRICE,republican,201088,0.6168248953236913,RODNEY STOOKSBURY,democratic,124917,0.38317510467630866,-0.23364979064738267
1301,GA-01,171,Earl Carter,republican,210243,0.9958837015423093,Nathan Russo,,869,0.004116298457690705,-1
1310,GA-10,173,JODY HICE,republican,243725,0.9963779224973529,Leonard Ware,,886,0.00362207750264706,-1
1313,GA-13,179,DAVID SCOTT,democratic,252833,1.0,UNOPPOSED,N/A,0,0.0,1
1305,GA-05,178,JOHN R. LEWIS,democratic,253781,0.8443914303491278,DOUGLAS BELL,republican,46768,0.15560856965087225,0.6887828606982556
1311,GA-11,175,BARRY LOUDERMILK,republican,217935,0.6740577388206038,DON WILSON,democratic,105383,0.3259422611793961,-0.3481154776412077
1304,GA-04,181,HENRY C âHANKâ JOHNSON JR,democratic,220146,0.7571945972160598,VICTOR ARMENDARIZ,republican,70593,0.24280540278394022,0.5143891944321195
1302,GA-02,172,SANFORD BISHOP,democratic,148543,0.6122984843301086,GREG DUKE,republican,94056,0.38770151566989147,0.2245969686602171
1312,GA-12,169,RICK ALLEN,republican,159492,0.6160085279940675,PATRICIA C. MCCRACKEN,democratic,99420,0.38399147200593253,-0.23201705598813493
1303,GA-03,176,DREW FERGUSON,republican,207218,0.6834659797418755,ANGELA PENDLEY,democratic,95969,0.31653402025812455,-0.36693195948375096
1314,GA-14,177,TOM GRAVES,republican,216743,0.9990320484160163,Patrick A. Boggs,,210,0.0009679515839836278,-1
